brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Hyundai,5,78000,Dealer,Diesel,Manual,21.9,1396,90.0,5,620856.4
Hyundai,5,38900,Individual,Petrol,Manual,18.6,1197,81.83,5,543521.7
Honda,2,10000,Individual,Diesel,Automatic,23.8,1498,78.9,5,871521.2
Maruti,4,44000,Dealer,Diesel,Manual,26.21,1248,88.5,5,748612.5
Toyota,13,200000,Individual,Diesel,Manual,12.8,2494,102.0,8,471166.62
Jeep,3,70000,Individual,Diesel,Manual,16.3,1956,170.0,5,1784326.6
Honda,6,42380,Dealer,Diesel,Manual,25.8,1498,98.6,5,456369.03
Maruti,9,37000,Dealer,Petrol,Manual,20.92,998,67.1,5,238145.88
Tata,5,60000,Individual,Diesel,Manual,27.28,1047,69.0,5,379189.4
Maruti,9,55294,Individual,Petrol,Manual,20.92,998,67.1,5,226679.95
Hyundai,5,32615,Dealer,Diesel,Manual,23.9,1582,126.2,5,812553.1
Mahindra,7,113000,Dealer,Diesel,Manual,15.4,2523,75.0,7,692505.8
Maruti,3,12000,Individual,Petrol,Automatic,22.0,1197,81.8,5,663949.56
Kia,2,11800,Dealer,Diesel,Automatic,17.8,1493,113.4,5,1797164.0
Skoda,8,149028,Dealer,Diesel,Manual,20.5,1598,103.5,5,365814.72
Volkswagen,9,58700,Dealer,Petrol,Manual,16.47,1198,73.9,5,320162.5
Mahindra,5,57000,Individual,Diesel,Manual,15.4,2179,120.0,7,1002060.3
Toyota,4,86032,Dealer,Diesel,Manual,13.68,2393,147.8,7,1657403.9
Maruti,6,47000,Dealer,Petrol,Manual,21.4,1197,83.1,5,515049.62
Hyundai,5,47500,Dealer,Petrol,Manual,18.9,1197,82.0,5,452678.5
Hyundai,8,136700,Dealer,Diesel,Automatic,22.32,1582,126.32,5,439962.38
Maruti,3,4700,Dealer,Petrol,Manual,21.01,1197,81.8,5,658697.8
Honda,7,45000,Dealer,Petrol,Manual,17.8,1497,117.3,5,535369.25
Maruti,6,48000,Dealer,Petrol,Manual,22.74,796,47.3,5,251283.36
Honda,13,57000,Dealer,Petrol,Automatic,13.9,1799,130.2,5,271209.25
Tata,3,25000,Individual,Petrol,Manual,23.84,1199,84.0,5,433477.34
Land Rover,10,65000,Dealer,Diesel,Automatic,10.2,3628,308.0,7,2810341.2
Maruti,8,82000,Dealer,Diesel,Manual,19.3,1248,73.9,5,463609.78
Skoda,8,40000,Individual,Petrol,Manual,13.14,1798,160.0,5,463938.38
Honda,7,52000,Dealer,Petrol,Manual,18.0,1198,86.7,5,397475.8
Hyundai,2,12000,Individual,Petrol,Manual,17.0,1591,121.3,5,1046865.44
Skoda,4,19000,Dealer,Petrol,Manual,15.0,1598,103.6,5,720389.56
Maruti,3,61000,Dealer,Diesel,Automatic,28.4,1248,74.02,5,727632.56
MG,1,1001,Dealer,Diesel,Manual,17.41,1956,167.68,5,1780067.4
Maruti,5,45000,Dealer,Petrol,Manual,20.73,1373,91.1,5,641197.75
Maruti,4,100000,Individual,Diesel,Manual,24.3,1248,88.5,5,777533.1
Renault,5,50000,Individual,Diesel,Manual,19.87,1461,83.8,5,679132.94
Mercedes-Benz,5,79090,Dealer,Diesel,Automatic,11.3,2987,254.8,7,4687198.5
Maruti,4,84900,Dealer,Petrol,Manual,17.5,1373,91.1,7,738543.7
Mahindra,4,40000,Individual,Petrol,Manual,18.15,1198,82.0,6,414608.72
Maruti,3,25000,Individual,Diesel,Manual,24.3,1248,88.5,5,885798.8
Mahindra,3,32525,Dealer,Diesel,Manual,16.5,1493,70.0,7,804396.56
Force,5,60000,Individual,Diesel,Manual,17.0,2596,80.8,5,725114.5
Honda,4,70000,Individual,Diesel,Manual,25.8,1498,98.6,5,491100.16
Maruti,10,70000,Individual,Petrol,Manual,20.92,998,67.1,5,195130.3
Datsun,2,2500,Individual,Petrol,Manual,22.7,799,53.64,5,300908.22
Maruti,3,28563,Dealer,Petrol,Manual,21.4,1197,83.1,5,653508.25
Mahindra,4,58446,Dealer,Diesel,Manual,15.4,2179,120.0,7,1053348.9
Honda,5,17012,Dealer,Petrol,Automatic,19.0,1199,88.7,5,614923.1
Maruti,5,65000,Individual,CNG,Manual,26.6,998,58.16,5,338496.88
Mercedes-Benz,10,82000,Dealer,Diesel,Automatic,13.5,2987,254.79,5,2035028.8
Mahindra,6,120000,Individual,Diesel,Manual,16.0,2179,140.0,7,892197.25
Hyundai,4,33000,Dealer,Petrol,Manual,18.6,1197,81.83,5,628825.8
Toyota,9,97000,Dealer,Diesel,Automatic,12.55,2982,168.5,7,1300572.4
Maruti,4,60000,Dealer,Diesel,Manual,26.59,1248,74.0,5,642011.5
Hyundai,3,60000,Individual,Diesel,Manual,22.1,1396,88.7,5,921938.44
Maruti,5,30000,Individual,Petrol,Manual,21.4,1197,83.1,5,533919.7
Hyundai,6,175000,Individual,Diesel,Manual,22.54,1396,88.73,5,488782.62
Maruti,5,20000,Individual,Diesel,Manual,24.3,1248,88.5,5,775233.4
Honda,4,61000,Dealer,Diesel,Manual,26.0,1498,98.6,5,811264.7
Volkswagen,5,28000,Dealer,Diesel,Automatic,22.15,1498,108.6,5,765342.8
Hyundai,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,404500.94
Maruti,3,9000,Individual,Diesel,Manual,26.82,1498,93.87,5,888076.7
Mahindra,6,60000,Individual,Diesel,Manual,15.1,2179,140.0,7,830714.8
Maruti,7,96000,Individual,Diesel,Manual,25.2,1248,74.0,5,440443.9
Mahindra,8,113000,Dealer,Diesel,Manual,16.0,2179,140.0,7,735714.2
Maruti,13,97000,Individual,Petrol,Manual,19.7,796,46.3,5,112699.94
Volkswagen,9,35000,Individual,Diesel,Manual,22.07,1199,73.9,5,320333.53
Maruti,7,36000,Dealer,Petrol,Manual,17.5,1197,85.8,5,437147.22
Maruti,3,48000,Individual,Diesel,Manual,28.4,1248,74.0,5,685228.8
Hyundai,8,50000,Individual,Petrol,Manual,18.5,1197,82.85,5,392751.4
Maruti,3,12500,Individual,Petrol,Manual,22.0,1197,81.8,5,605849.94
Maruti,3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,875357.06
Volkswagen,9,30000,Dealer,Petrol,Manual,16.47,1198,73.9,5,339087.2
Maruti,11,107600,Dealer,Diesel,Manual,17.8,1248,75.0,5,303303.0
Hyundai,7,35144,Dealer,Petrol,Manual,18.6,1197,81.83,5,489033.0
Toyota,11,145000,Dealer,Diesel,Manual,12.99,2494,100.0,8,678795.56
Maruti,2,12509,Trustmark Dealer,Diesel,Manual,24.3,1248,88.5,5,934041.56
Honda,5,47000,Dealer,Petrol,Automatic,18.1,1199,88.7,5,559518.56
Honda,5,80000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,772968.5
Hyundai,7,72000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,679456.2
Maruti,4,63001,Dealer,Diesel,Manual,24.52,1248,88.5,7,819056.5
Mahindra,12,120000,Individual,Diesel,Manual,13.6,2523,63.0,7,316985.53
Volkswagen,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,417461.44
Maruti,15,60000,Individual,Petrol,Manual,18.9,998,67.1,5,103154.02
Maruti,5,57200,Dealer,Petrol,Manual,20.85,1197,83.14,5,532079.1
Ford,5,89000,Dealer,Diesel,Automatic,10.91,3198,197.0,7,2523345.2
BMW,9,50000,Dealer,Diesel,Automatic,18.88,1995,184.0,5,1199779.5
Maruti,2,1700,Dealer,Petrol,Manual,21.56,1462,103.25,5,938989.5
Maruti,4,32000,Dealer,Diesel,Manual,24.3,1248,88.5,5,823079.75
Toyota,12,250000,Individual,Diesel,Manual,12.8,2494,102.0,8,477975.22
Toyota,7,15000,Individual,Diesel,Manual,12.99,2494,100.6,7,1043051.6
Hyundai,3,15000,Dealer,Petrol,Manual,18.6,1197,81.83,5,704125.4
BMW,6,74898,Dealer,Diesel,Automatic,18.88,1995,184.0,5,1827097.2
Maruti,4,85000,Dealer,Diesel,Manual,24.3,1248,88.5,5,779111.94
Maruti,7,115000,Individual,Diesel,Manual,23.4,1248,74.0,5,443778.97
Hyundai,2,15000,Dealer,Petrol,Manual,18.6,1197,81.86,5,690493.1
Audi,10,69000,Dealer,Diesel,Automatic,17.11,1968,174.33,5,931724.9
Maruti,5,34000,Dealer,Petrol,Manual,21.01,1197,81.8,5,556881.3
Renault,8,58327,Dealer,Diesel,Manual,19.01,1461,108.45,5,436697.62
Mahindra,18,198565,Individual,Diesel,Manual,10.5,2179,120.0,8,150518.7
Datsun,5,40000,Individual,Petrol,Manual,19.44,1198,67.0,7,362588.75
BMW,7,75000,Dealer,Diesel,Automatic,11.5,2993,235.0,5,2876657.5
Maruti,15,55000,Dealer,Petrol,Manual,16.1,1197,85.0,5,146868.38
Maruti,4,70000,Individual,Diesel,Manual,25.2,1248,74.0,5,622231.56
Mahindra,9,18053,Dealer,Diesel,Manual,16.55,2498,105.0,7,468599.8
Hyundai,4,23082,Trustmark Dealer,Petrol,Manual,18.6,1197,81.83,5,627749.06
Hyundai,7,34400,Dealer,Petrol,Manual,18.9,1197,82.0,5,426748.3
Maruti,4,75000,Dealer,Diesel,Manual,27.39,1248,74.0,5,647426.5
Audi,7,40000,Dealer,Diesel,Automatic,12.07,2967,241.4,7,3093835.5
Maruti,5,21000,Dealer,Petrol,Manual,20.73,1373,91.1,5,654828.94
Maruti,4,21000,Dealer,Diesel,Manual,26.32,1498,93.87,5,757015.2
Tata,3,21000,Dealer,Diesel,Automatic,21.5,1497,108.5,5,926167.5
Hyundai,6,45000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,928041.06
Hyundai,8,48000,Dealer,Petrol,Automatic,17.01,1591,121.4,5,517303.2
Maruti,9,120000,Individual,Diesel,Manual,20.77,1248,88.76,7,479794.72
Ford,4,140000,Individual,Diesel,Manual,23.0,1498,98.96,5,705042.56
Maruti,1,2000,Dealer,Petrol,Manual,21.4,1197,83.1,5,680051.3
Mercedes-Benz,4,35000,Dealer,Petrol,Automatic,12.0,1991,181.03,5,3736265.2
Honda,7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,402187.22
Hyundai,10,76000,Individual,Petrol,Manual,19.81,1086,68.05,5,215868.38
Maruti,5,37072,Dealer,Petrol,Manual,21.4,1197,83.1,5,549798.0
Hyundai,10,35000,Individual,Petrol,Manual,19.81,1086,68.05,5,236999.89
Maruti,3,26938,Trustmark Dealer,CNG,Manual,17.5,1373,80.46,7,840985.7
Maruti,3,13300,Individual,Petrol,Manual,22.0,1197,81.8,5,602617.2
Mahindra,10,205000,Individual,Diesel,Automatic,11.79,2179,120.0,8,444862.06
Toyota,11,94000,Dealer,Diesel,Manual,12.8,2494,102.0,8,634473.75
Maruti,3,36000,Dealer,Diesel,Manual,28.09,1248,88.5,5,856617.94
Maruti,7,43500,Dealer,Petrol,Manual,23.1,998,67.04,5,345808.72
Ford,6,30000,Individual,Diesel,Manual,22.77,1498,98.59,5,633458.6
Toyota,7,95000,Dealer,Diesel,Automatic,12.55,2982,168.5,7,1635550.1
Mercedes-Benz,4,24000,Dealer,Petrol,Automatic,15.0,1991,194.4,5,3416513.0
BMW,10,56000,Dealer,Diesel,Automatic,16.07,1995,181.0,5,961364.25
Mahindra,6,69666,Dealer,Diesel,Manual,16.5,1493,70.0,7,611826.94
Honda,4,26000,Individual,Petrol,Manual,18.7,1199,88.7,5,639876.44
Audi,9,38000,Individual,Diesel,Automatic,15.2,1968,140.8,5,1286213.5
Honda,3,19790,Dealer,Petrol,Manual,17.5,1199,88.7,5,793903.7
Maruti,2,25000,Individual,Petrol,Manual,15.37,1196,73.0,5,391473.25
Toyota,5,68194,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1638086.6
Maruti,3,50000,Individual,Diesel,Automatic,28.4,1248,74.0,5,684398.06
Maruti,6,15000,Individual,Petrol,Manual,20.73,1373,91.1,5,623724.0
Hyundai,13,74000,Dealer,Petrol,Manual,17.92,1086,62.1,5,148623.56
Maruti,11,68000,Dealer,Petrol,Manual,22.0,1197,81.8,5,258706.48
Maruti,6,50000,Individual,Petrol,Manual,20.51,998,67.04,5,350027.53
Mahindra,5,43405,Trustmark Dealer,Diesel,Manual,25.32,1198,77.0,5,469917.3
Toyota,5,46000,Individual,Diesel,Automatic,11.36,2755,171.5,7,1829177.1
Hyundai,11,60000,Individual,Petrol,Manual,20.36,1197,78.9,5,220667.88
Tata,2,20000,Individual,Diesel,Manual,17.0,1956,138.1,5,1563694.9
Honda,5,54000,Individual,Diesel,Manual,27.3,1498,98.6,5,604245.8
Maruti,2,35000,Individual,Petrol,Manual,23.95,998,67.05,5,370186.16
Mahindra,6,79304,Dealer,Diesel,Manual,16.0,2179,140.0,7,960041.25
Mahindra,11,40000,Individual,Diesel,Manual,13.6,2523,63.0,7,358843.6
Maruti,4,23000,Individual,Petrol,Manual,23.95,998,67.05,5,338968.2
Hyundai,6,52000,Dealer,Diesel,Manual,21.19,1396,88.73,5,574953.9
Maruti,4,20000,Dealer,Petrol,Automatic,19.56,1197,81.8,5,683432.75
Hyundai,4,47961,Dealer,Petrol,Manual,18.9,1197,81.86,5,498741.12
Honda,16,68000,Individual,Petrol,Manual,13.0,1493,100.0,5,96942.54
Tata,1,5125,Dealer,Diesel,Manual,17.0,1956,167.67,5,1590911.9
Volkswagen,6,260000,Individual,Diesel,Automatic,21.21,1498,103.2,5,654093.06
Maruti,2,10000,Dealer,Petrol,Automatic,21.4,1197,83.1,5,762753.2
BMW,4,55000,Dealer,Diesel,Automatic,22.48,1995,187.74,5,3208130.5
Ford,3,63001,Dealer,Diesel,Manual,23.8,1499,98.97,5,661914.44
Maruti,3,80000,Individual,Diesel,Manual,24.3,1248,88.5,5,845745.5
Hyundai,5,20000,Individual,Diesel,Manual,21.19,1396,88.73,5,666817.1
Mercedes-Benz,8,73000,Dealer,Diesel,Automatic,14.84,2143,170.0,5,1263462.0
Hyundai,9,148000,Individual,Diesel,Manual,22.32,1582,126.32,5,439642.78
Hyundai,7,89800,Dealer,Petrol,Manual,20.36,1197,78.9,5,364642.66
Audi,5,58000,Dealer,Diesel,Automatic,18.53,1968,187.74,5,2711764.2
Mercedes-Benz,13,72000,Dealer,Petrol,Automatic,10.13,3498,364.9,5,901523.56
Mahindra,4,68000,Dealer,Diesel,Manual,15.4,2179,120.0,8,1061122.5
Maruti,11,74804,Dealer,Petrol,Manual,18.9,998,67.1,5,237555.66
Maruti,17,80000,Individual,Petrol,Manual,19.7,796,46.3,5,74370.09
Hyundai,7,37000,Dealer,Petrol,Manual,18.6,1197,81.83,5,489033.0
Maruti,4,21000,Dealer,Petrol,Manual,20.85,1197,83.14,5,603044.94
Hyundai,8,34000,Dealer,Diesel,Manual,21.9,1396,88.76,5,411898.03
Mahindra,5,56000,Individual,Diesel,Manual,15.4,2523,75.0,9,808299.94
Maruti,4,33529,Dealer,Petrol,Automatic,19.12,1373,91.1,5,801922.5
Honda,9,37323,Dealer,Petrol,Manual,17.0,1497,118.0,5,454446.34
Maruti,8,40200,Dealer,Petrol,Manual,18.9,998,67.1,5,308714.9
Mercedes-Benz,3,15000,Dealer,Diesel,Automatic,11.0,2987,258.0,7,7682121.0
Maruti,8,105000,Individual,Petrol,Manual,19.1,1197,85.8,5,369205.3
Maruti,6,61000,Dealer,Diesel,Manual,26.21,1248,88.5,5,581563.2
Honda,4,29000,Dealer,Petrol,Manual,17.4,1497,117.6,5,874611.06
Renault,8,63000,Dealer,Diesel,Manual,20.45,1461,83.8,5,444256.62
Ford,4,25000,Individual,Diesel,Manual,24.29,1498,99.0,5,680865.7
Volkswagen,5,110000,Individual,Diesel,Manual,20.14,1498,88.7,5,592121.4
Hyundai,6,70000,Dealer,Diesel,Manual,22.54,1396,88.73,5,571646.06
Toyota,2,25000,Individual,Diesel,Manual,13.68,2393,147.8,8,1839751.0
Ford,3,15850,Dealer,Diesel,Manual,26.1,1498,99.23,5,819563.6
Mahindra,5,36000,Individual,Petrol,Manual,18.15,1198,82.0,5,393532.03
Maruti,7,77000,Dealer,Diesel,Manual,25.2,1248,74.0,5,473777.3
Hyundai,6,83563,Trustmark Dealer,Diesel,Automatic,17.01,1582,126.2,5,913317.7
Volkswagen,4,41000,Dealer,Petrol,Automatic,18.19,1197,103.5,5,744728.06
Porsche,7,110000,Dealer,Diesel,Automatic,15.15,2967,240.0,5,4467082.5
Mercedes-Benz,11,94000,Dealer,Diesel,Automatic,14.21,2143,203.0,5,1082931.9
Mercedes-Benz,14,50000,Dealer,Petrol,Automatic,10.13,3498,364.9,5,783970.0
Renault,2,2709,Dealer,Petrol,Manual,20.0,999,71.0,7,612241.3
Maruti,5,42000,Dealer,Petrol,Automatic,20.51,998,67.0,5,429124.75
Honda,5,27000,Dealer,Petrol,Manual,17.0,1497,118.0,5,749993.8
Mercedes-Benz,7,75000,Dealer,Diesel,Automatic,11.78,2143,167.62,5,1355331.5
Maruti,5,46000,Dealer,Diesel,Manual,24.52,1248,88.5,7,743411.06
Ford,2,31000,Individual,Petrol,Manual,18.16,1196,86.8,5,552090.94
Mahindra,6,80000,Individual,Diesel,Manual,15.4,2179,120.0,7,916044.56
BMW,13,94603,Dealer,Petrol,Automatic,10.9,2497,215.0,5,759684.56
Honda,5,60060,Dealer,Petrol,Manual,17.8,1497,117.3,5,696102.56
Maruti,11,11000,Dealer,CNG,Manual,26.83,796,38.4,5,181931.52
Hyundai,5,60000,Dealer,Diesel,Manual,21.38,1396,88.7,5,796117.56
Honda,11,78000,Dealer,Petrol,Automatic,15.6,1497,116.3,5,400072.12
Skoda,9,87000,Dealer,Diesel,Manual,20.5,1598,103.5,5,374889.3
Maruti,4,39000,Individual,Diesel,Manual,24.3,1248,88.5,5,810269.56
Hyundai,10,82000,Dealer,Petrol,Manual,20.36,1197,78.9,5,271314.8
BMW,11,79000,Dealer,Diesel,Automatic,16.73,1995,218.0,5,1428562.9
Toyota,13,95000,Dealer,Diesel,Manual,12.99,2494,100.6,8,540943.4
Maruti,10,25000,Individual,Petrol,Manual,19.7,796,46.3,5,168884.11
Hyundai,3,10080,Trustmark Dealer,Petrol,Manual,18.6,1197,81.83,5,679261.8
Maruti,8,70000,Individual,Petrol,Manual,22.74,796,47.3,5,208503.9
Maruti,5,61149,Dealer,Petrol,Manual,19.01,1462,103.26,7,688879.7
Tata,4,100000,Individual,Diesel,Manual,14.1,2179,153.86,7,891024.7
Hyundai,8,70000,Dealer,Diesel,Manual,24.0,1186,73.97,5,327468.16
Mercedes-Benz,8,39000,Dealer,Diesel,Automatic,19.27,2143,170.0,5,1375449.2
Ford,2,30000,Individual,Diesel,Manual,26.1,1498,99.23,5,774600.8
Maruti,5,77658,Dealer,CNG,Manual,33.44,796,40.3,4,296060.62
Volkswagen,3,30000,Dealer,Diesel,Automatic,22.15,1498,108.6,5,943445.25
Maruti,12,108000,Dealer,Diesel,Manual,17.8,1248,75.0,5,302981.8
Mahindra,4,35000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1084673.5
Mahindra,2,37000,Dealer,Diesel,Manual,16.5,1493,70.0,7,835325.7
Maruti,14,53000,Individual,Petrol,Manual,18.9,998,67.1,5,128509.67
Hyundai,4,34000,Dealer,Diesel,Manual,22.54,1396,88.73,5,718292.44
Maruti,4,46931,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,567240.75
Maruti,5,47000,Individual,Diesel,Manual,24.3,1248,88.5,5,711012.2
Tata,2,30000,Individual,Diesel,Manual,14.1,2179,153.86,7,1291299.4
Hyundai,10,66084,Dealer,Petrol,Manual,20.36,1197,78.9,5,254394.58
BMW,9,78000,Individual,Diesel,Automatic,17.05,1995,184.0,5,1263642.8
Mahindra,7,114000,Dealer,Diesel,Manual,15.1,2179,140.0,7,792264.7
Renault,4,30000,Individual,Petrol,Automatic,24.04,999,67.0,5,356578.75
Honda,11,57977,Dealer,Petrol,Manual,17.0,1497,118.0,5,310130.75
Hyundai,3,16285,Dealer,Petrol,Manual,18.6,1197,81.83,5,704125.4
Audi,5,52476,Dealer,Diesel,Automatic,12.07,2967,241.4,7,3833241.8
Kia,1,13000,Dealer,Petrol,Automatic,16.8,1497,113.4,5,1568520.6
Hyundai,6,70000,Individual,Petrol,Manual,18.6,1197,81.83,5,475652.94
Maruti,4,23000,Dealer,Petrol,Manual,21.01,1197,81.8,5,632703.4
Toyota,6,70000,Dealer,Diesel,Manual,12.8,2494,102.0,7,1045615.25
Mahindra,8,130000,Individual,Diesel,Manual,12.05,2179,120.0,8,568676.1
Hyundai,4,50000,Individual,Diesel,Manual,23.9,1582,126.2,5,885851.25
Honda,9,49049,Dealer,Petrol,Automatic,13.1,2354,141.1,5,749776.4
Renault,9,66000,Individual,Diesel,Manual,19.01,1461,108.45,5,437104.28
Maruti,2,3000,Dealer,Petrol,Manual,21.01,1197,81.8,5,675131.1
Mahindra,11,160000,Individual,Diesel,Manual,10.5,2609,120.0,7,325611.8
Skoda,8,52000,Dealer,Petrol,Manual,15.0,1598,103.5,5,382640.44
Hyundai,9,97000,Dealer,Diesel,Automatic,22.32,1582,126.3,5,508748.7
Ford,3,25000,Individual,Petrol,Manual,19.0,1194,94.68,5,660753.94
Hyundai,9,57001,Dealer,Petrol,Automatic,16.95,1197,78.9,5,342760.47
Mahindra,18,120000,Individual,Diesel,Manual,13.6,2523,63.0,7,115006.2
Mahindra,10,60000,Individual,Diesel,Manual,13.5,2179,115.0,5,449403.38
Hyundai,11,52000,Dealer,Petrol,Manual,20.36,1197,78.9,5,257817.6
Maruti,4,9000,Dealer,Petrol,Manual,21.4,1197,83.1,5,617498.25
Maruti,4,18767,Dealer,Petrol,Manual,23.26,1197,88.5,5,661441.1
Hyundai,4,55000,Dealer,Petrol,Manual,18.9,1197,81.86,5,498806.75
Maruti,9,110000,Individual,Diesel,Manual,22.9,1248,74.0,5,377833.94
Hyundai,2,14200,Dealer,Petrol,Manual,17.0,1591,121.3,5,1018855.3
Hyundai,6,150000,Individual,Diesel,Manual,21.19,1396,88.73,5,573851.7
Hyundai,12,52000,Dealer,Petrol,Manual,19.81,1086,68.05,5,203475.48
Ford,2,14000,Dealer,Diesel,Manual,23.0,1498,98.96,5,1004599.75
